time,leg_length,hip_angle_rad,hip_angle_deg,contact,gps_x,gps_y,gps_z,roll,pitch,yaw,height_from_gps
0.065000,0.000003,-0.001000,-0.057,0,0.277594,0.006931,0.528199,-3.118712,0.939643,-3.088870,0.528199
0.066000,0.000003,-0.001000,-0.057,0,0.277811,0.006936,0.528033,-3.118743,0.938981,-3.088895,0.528033
0.067000,0.000003,-0.001000,-0.057,0,0.278032,0.006941,0.527863,-3.118776,0.938308,-3.088921,0.527863
0.068000,0.000003,-0.001000,-0.057,0,0.278256,0.006947,0.527691,-3.118808,0.937626,-3.088947,0.527691
0.069000,0.000003,-0.001000,-0.057,0,0.278482,0.006953,0.527516,-3.118841,0.936935,-3.088973,0.527516
0.070000,0.000004,-0.001000,-0.057,0,0.278712,0.006958,0.527338,-3.118875,0.936233,-3.089000,0.527338
0.071000,0.000004,-0.001000,-0.057,0,0.278945,0.006964,0.527157,-3.118909,0.935522,-3.089027,0.527157
0.072000,0.000004,-0.001000,-0.057,0,0.279181,0.006970,0.526973,-3.118943,0.934801,-3.089054,0.526973
0.073000,0.000004,-0.001000,-0.057,0,0.279420,0.006976,0.526786,-3.118978,0.934070,-3.089082,0.526786
0.074000,0.000004,-0.001000,-0.057,0,0.279662,0.006982,0.526596,-3.119013,0.933329,-3.089109,0.526596
0.075000,0.000004,-0.001000,-0.057,0,0.279907,0.006988,0.526403,-3.119048,0.932578,-3.089137,0.526403
0.076000,0.000004,-0.001000,-0.057,0,0.280155,0.006994,0.526208,-3.119084,0.931818,-3.089166,0.526208
0.077000,0.000004,-0.001000,-0.057,0,0.280407,0.007000,0.526009,-3.119120,0.931047,-3.089194,0.526009
0.078000,0.000004,-0.001000,-0.057,0,0.280661,0.007007,0.525807,-3.119157,0.930267,-3.089223,0.525807
0.079000,0.000004,-0.001000,-0.057,0,0.280918,0.007013,0.525603,-3.119194,0.929476,-3.089253,0.525603
0.080000,0.000004,-0.001000,-0.057,0,0.281179,0.007019,0.525395,-3.119231,0.928676,-3.089282,0.525395
0.081000,0.000004,-0.001000,-0.057,0,0.281443,0.007026,0.525185,-3.119269,0.927866,-3.089312,0.525185
0.082000,0.000004,-0.001000,-0.057,0,0.281709,0.007033,0.524971,-3.119307,0.927045,-3.089342,0.524971
0.083000,0.000004,-0.001000,-0.057,0,0.281979,0.007039,0.524755,-3.119346,0.926215,-3.089373,0.524755
0.084000,0.000004,-0.001000,-0.057,0,0.282252,0.007046,0.524535,-3.119385,0.925374,-3.089403,0.524535
0.085000,0.000004,-0.001000,-0.057,0,0.282528,0.007053,0.524313,-3.119424,0.924524,-3.089434,0.524313
