Time,Phase,Z,Height_Dist,Vx,Vz,W_cent,Phi_leg,Leg_R
1.18,2,0.14638692803763034,1.0,9.301344772172371e-05,0.00025809696446721375,-0.04062590020009749,0.08405940463895513,-0.002479924830606085
1.2,2,0.14639257394042557,1.0,0.00011836053392944024,0.0003038420544609899,-0.04057756349473696,0.08359063406618385,-0.0024792814276533097
1.22,2,0.1463991100950891,1.0,0.0001421443590055027,0.0003471694718926166,-0.04055529594820806,0.0829944525001899,-0.002478921487135433
1.24,2,0.1464064837575464,1.0,0.00016415094633570604,0.00038766961751868223,-0.04055789526341558,0.08227597133412412,-0.002478821442580295
1.26,2,0.14641463437038377,1.0,0.00018420518321793367,0.00042496428190319513,-0.04058406904683398,0.08144072062919848,-0.0024789571650383102
1.28,2,0.1464234942344476,1.0,0.00020216893042990236,0.0004587233239372601,-0.04063246622748595,0.08049460876581961,-0.0024793046596095266
1.3,2,0.1464329899244118,1.0,0.00021793623183885558,0.0004887024228350523,-0.04070167842762373,0.07944388152971561,-0.0024798401444473084
1.32,2,0.14644292033701167,1.0,0.00023553797057207504,0.0004991815779342712,-0.040787520698470914,0.07829496056675844,-0.0024806383889055517
1.34,2,0.1464531625767168,1.0,0.00024599101816624724,0.0005245506819739898,-0.0408979925696773,0.07705475369308168,-0.002481710926033138
1.36,2,0.14646387421697757,1.0,0.00025445556517400547,0.0005444905279705647,-0.04101990877847239,0.07573038437903701,-0.0024828342749188665
1.3800000000000001,2,0.1464749287923467,1.0,0.0002608235976087059,0.0005595249304990446,-0.04115734326398668,0.07432905183828481,-0.0024840328195311527
1.4000000000000001,2,0.14648623964816565,1.0,0.0002650278126958838,0.0005703168355075672,-0.041307815218882826,0.0728580827410931,-0.002485287265115179
1.42,2,0.1464977228030278,1.0,0.0002671359831118991,0.0005770026106355353,-0.04146980939517819,0.07132489746821193,-0.0024865806647552413
1.44,2,0.14650929869664317,1.0,0.00026723308094167564,0.0005798222402764175,-0.04164171077591927,0.0697369705207785,-0.002487895776794994
1.46,2,0.14652089248159555,1.0,0.00026543416808966214,0.0005790145609640973,-0.041821922923124255,0.0681017931424424,-0.002489215751951423
1.48,2,0.1465324343036199,1.0,0.00026187528345822386,0.0005748391623261462,-0.04200886620925326,0.06642683732945433,-0.0024905245354696244
1.5,2,0.14654385970914152,1.0,0.00025670872816352386,0.0005675753144696039,-0.04220098381430004,0.0647195213861702,-0.002491807075468154
1.52,2,0.14655511001895816,1.0,0.00025009877113735257,0.000557519779592619,-0.0423967479702414,0.06298717710689915,-0.0024930494533604406
1.54,2,0.1465661326394828,1.0,0.00024221784966638182,0.0005449829467707445,-0.04259466581618687,0.061237018658459104,-0.0024942389557660732
1.56,2,0.1465768812871837,1.0,0.00023324312226069566,0.0005302841732945929,-0.042793284991737846,0.05947611323024512,-0.002495364109036722
1.58,2,0.14658731611611836,1.0,0.00022335331589795615,0.0005137468301608106,-0.04299119885348146,0.05771135350865848,-0.002496414687788603
1.6,2,0.14659740374608557,1.0,0.00021272584038722897,0.0004956933583044609,-0.043187051301962764,0.05594943202226484,-0.0024973817046362503
1.62,2,0.14660711719392752,1.0,0.0002015341749039834,0.00047644054354534227,-0.043379541182164694,0.054196817393484434,-0.002498257385753737
1.6400000000000001,2,0.14661643571378724,1.0,0.00018994553030449168,0.0004562951385622682,-0.04356742626426824,0.0524597325219115,-0.002499035135431376
1.6600000000000001,2,0.1466253445542961,1.0,0.0001781187914384752,0.00043554992304462026,-0.04374952679009336,0.050744134714172634,-0.002499709491943988
1.68,2,0.14663383464211105,1.0,0.00016620275727907696,0.0004144802613348375,-0.043924728593436324,0.0490556977654486,-0.0025002760765448703
1.7,2,0.1466419022021047,1.0,0.0001543346744292684,0.00039334118839828847,-0.044091985796856914,0.04739979598856901,-0.0025007315371052283
1.72,2,0.1466495483250445,1.0,0.00014263906739087062,0.000372365046130696,-0.04425032309463006,0.04578149017811903,-0.0025010734877187013
1.74,2,0.14665677849378797,1.0,0.000131226866650902,0.0003517596713353832,-0.04439883762968888,0.04420551548911416,-0.002501300445452992
1.76,2,0.1466636020789765,1.0,0.00012019481926417441,0.0003317071280706241,-0.04453670047643854,0.04267627120265048,-0.002501411765322417
1.78,2,0.14667003181495125,1.0,0.00010962517821289097,0.00031236296726966373,-0.044663157742208526,0.0411978123444417,-0.002501407574451944
1.8,2,0.14667608326617126,1.0,9.958564778367318e-05,0.00029385598782072364,-0.04477753130099904,0.03977384311626265,-0.002501288706314597
1.82,2,0.1466817742938235,1.0,9.012957352672046e-05,0.00027628846488436665,-0.044879219171678475,0.03840771209506568,-0.002501056635827943
1.84,2,0.14668712453160676,1.0,8.129635054032747e-05,0.0002597368105594633,-0.044967695557840415,0.03710240914977602,-0.0025007134160010677
1.86,2,0.14669215487884268,1.0,7.311202987470011e-05,0.0002442526199075701,-0.04504251056219877,0.035860564021588444,-0.002500261616726861
1.8800000000000001,2,0.14669688701818148,1.0,6.559009896323076e-05,0.0002298640588704881,-0.04510328959422827,0.034684446509772225,-0.0024997042662210354
1.9000000000000001,2,0.14670134296420975,1.0,5.8732405050498926e-05,0.00021657754326054324,-0.045149732479266014,0.03357596820170584,-0.002499044795511507
1.92,2,0.14670554464827415,1.0,5.2530203964451516e-05,0.00020437966163910914,-0.045181612297162665,0.03253668568284353,-0.002498286986296795
1.94,2,0.14670951354383222,1.0,4.696529981584874e-05,0.00019323928687753344,-0.04519877395164906,0.03156780515973954,-0.002497434922387132
1.96,2,0.14671327033562176,1.0,4.201125247682569e-05,0.00018310983077030052,-0.045201132498340346,0.03067018842691229,-0.0024964929448789155
1.98,2,0.1467168346349499,1.0,3.7634629412863774e-05,0.00017393158951994891,-0.045188671240870004,0.029844360106338765,-0.0024954656111137227
2.0,2,0.1467202247424423,1.0,3.379627433464094e-05,0.00016563413371417646,-0.04516143961053043,0.02909051608659016,-0.002494357657412992
2.02,2,0.14672345745866933,1.0,3.045257024325565e-05,0.00015813869913561263,-0.045119550849126444,0.028408533087105444,-0.0024931739655079735
2.04,2,0.14672654794220308,1.0,2.7556678550144653e-05,0.00015136053452269316,-0.04506317950536687,0.027797979271831894,-0.0024919195325316013
2.06,2,0.146729509613877,1.0,2.5059730568433025e-05,0.00014521117158716734,-0.044992558765277746,0.02725812583537319,-0.002490599444378027
2.08,2,0.14673235410528201,1.0,2.2911956887305962e-05,0.00013960057990147767,-0.04490797762729537,0.026787959483948097,-0.0024892188522087
2.1,2,0.14673509124891057,1.0,2.1063739918947277e-05,0.0001344391788171695,-0.044809777939858186,0.026386195732800852,-0.002487782951838061
2.12,2,0.14673772910680577,1.0,1.946657463003376e-05,0.00012963968049062302,-0.04469835131487576,0.026051292941269646,-0.0024862969657101393
2.14,2,0.14674027403411177,1.0,1.8073930241335745e-05,0.0001251187438378043,-0.044574135933672654,0.025781467006466066,-0.002484766127163858
2.16,2,0.14674273077355818,1.0,1.68420010160375e-05,0.00012079842170997779,-0.04443761325875761,0.025574706636478112,-0.002483195666668589
2.18,2,0.14674510257663625,1.0,1.5730346025755182e-05,0.00011660739215879623,-0.04428930466696124,0.025428789124166646,-0.0024815907997144133
2.2,2,0.14674739134703985,1.0,1.470240951206847e-05,0.0001124819644093833,-0.04412976801657087,0.025341296542995835,-0.0024799567160441343
2.22,2,0.14674959780185387,1.0,1.372592350890045e-05,0.00010836685848669703,-0.043959594164949545,0.025309632286894413,-0.0024782985699235522
2.24,2,0.1467517216459583,1.0,1.277319544579214e-05,0.00010421575938335259,-0.04377940345012821,0.025331037876928444,-0.002476621471165637
2.2600000000000002,2,0.14675376175518856,1.0,1.182127845611447e-05,9.999165012652966e-05,-0.043589842151470215,0.025402609958547238,-0.002474930476644533
2.2800000000000002,2,0.14675571636393878,1.0,1.0852037435338246e-05,9.566693578988428e-05,-0.04339157893823442,0.025521317414365568,-0.00247323058205782
2.3000000000000003,2,0.146757583253096,1.0,9.852107518693032e-06,9.122336505629214e-05,-0.0431853013291017,0.02568401851882371,-0.002471526713728425
2.32,2,0.14675935993447037,1.0,8.812764351606717e-06,8.665176937094898e-05,-0.042971712165856824,0.025887478062717174,-0.002469823720268639
2.34,2,0.14676104382820418,1.0,7.7297022671452e-06,8.195163325730448e-05,-0.04275152612240318,0.026128384377368166,-0.002468126363956363
2.36,2,0.14676263242999865,1.0,6.602743185535331e-06,7.713051719537845e-05,-0.04252546625768683,0.026403366190257557,-0.002466439311717834
2.38,2,0.14676412346540332,1.0,5.435475847193061e-06,7.220335007662726e-05,-0.04229426062599129,0.02670900924615643,-0.0024647671256347223
2.4,2,0.14676551502882373,1.0,4.234845030204326e-06,6.719161785295746e-05,-0.042058638958536454,0.02704187263023161,-0.0024631142529382374
2.42,2,0.1467668057053472,1.0,3.0106979687083424e-06,6.212246486669848e-05,-0.04181932942606825,0.02739850473217235,-0.0024614850154757646
2.44,2,0.14676799467392518,1.0,1.7752981862351191e-06,5.7027734590153756e-05,-0.041577055494401716,0.027775458793263805,-0.0024598835986800877
2.46,2,0.14676908179090084,1.0,5.428232308091197e-07,5.1942969064855404e-05,-0.04133253288554628,0.0281693079812297,-0.0024583140400853366
2.48,2,0.14677006765330006,1.0,-6.711475819543011e-07,4.690639096582849e-05,-0.04108646665268445,0.0285766599408761,-0.002456780217475156
2.5,2,0.1467709536417278,1.0,-1.8501447596186438e-06,4.195788447236559e-05,-0.04083954837885706,0.028994170771855152,-0.0024552858367630067
2.52,2,0.14677174194311,1.0,-2.9773024601276177e-06,3.7138001118819375e-05,-0.04059245351101248,0.029418558388318222,-0.0024538344197314647
2.54,2,0.14677243555389424,1.0,-4.035839329397106e-06,3.248700114477643e-05,-0.04034583883399945,0.02984661521885626,-0.0024524292917632246
2.56,2,0.14677303826465218,1.0,-5.009502590525017e-06,2.8043951633138775e-05,-0.040100340097409815,0.030275220208796506,-0.00245107356972898
2.58,2,0.14677355462733646,1.0,-5.882981268801046e-06,2.3845892899165833e-05,-0.03985656979615948,0.030701350090806805,-0.0024497701501866183
2.6,2,0.14677398990670615,1.0,-6.642274508195101e-06,1.992708620335293e-05,-0.039615115116131694,0.03112208989363848,-0.002448521698060193
2.62,2,0.14677435001764036,1.0,-7.2750134250121334e-06,1.6318352530353408e-05,-0.039376536048629784,0.03153464266286642,-0.0024473306359753953
2.64,2,0.14677464145025304,1.0,-7.77073361213354e-06,1.3046509456104971e-05,-0.039141363677414054,0.03193633837153996,-0.0024461991344097646
