Time,Phase,Height,Vel_Z,Angle,Contact
0.07100000000000001,0,0.14823758234669146,-0.44282610956417057,-0.022807640046599964,True
0.07200000000000001,0,0.14779434277707476,-0.4432395696166991,-0.023822176424400432,True
0.073,0,0.14735193345687306,-0.4424093202017032,-0.023953696462228002,True
0.074,0,0.14691227246713265,-0.4396609897404091,-0.023994948865878385,True
0.075,0,0.1464767424772199,-0.43552998991275294,-0.02402897708762719,True
0.076,0,0.1460466032594505,-0.4301392177693819,-0.024056115688299684,True
0.077,0,0.14562307543148476,-0.4235278279657584,-0.02407653328594339,True
0.078,0,0.14520734435880298,-0.4157310726817798,-0.024090426344890226,True
0.079,0,0.14480055902660202,-0.40678533220095403,-0.024097971790710382,True
0.08,0,0.14440383042877253,-0.3967285978294932,-0.02409932968864581,True
0.081,0,0.14401822976621234,-0.3856006625601871,-0.024094650996789646,True
0.082,0,0.1436447865156084,-0.3734432506039276,-0.024084084319275334,True
0.083,0,0.14328448643023314,-0.36030008537527025,-0.02406778112974539,True
0.084,0,0.14293826953007752,-0.346216900155627,-0.0240458996703925,True
0.085,0,0.14260702812912335,-0.33124140095416865,-0.02401860778876408,True
0.08600000000000001,0,0.1422916049377871,-0.3154231913362615,-0.023986084934132457,True
